,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label
78965,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,64400,1,3484,0,1
44371,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,8014,1,0,0,1
47561,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,52349,28,0,0,1
55642,17,0.0,70,1,228,1,0,0,0,0,0,0,0,0,228,70,70,228,70.0,228.0,0,0,0,0,560000,1824000,1,1,0,0,0,0,0,0,0,59836,1,9,0,1
49522,6,91.0,164,3,112,2,19,18,19,4294418,549,205,64,64,60,52,52,60,164.0,112.0,0,0,0,0,0,0,5,0,0,0,0,29200,28960,0,0,0,0,0,0,1
31461,17,0.0,76,1,76,1,0,0,0,0,0,0,0,0,76,76,76,76,76.0,76.0,0,0,0,0,608000,608000,2,0,0,0,0,0,0,0,0,16732,1,0,0,1
29516,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,45678,1,36,0,1
46368,17,0.0,50,1,50,1,0,0,0,0,0,0,0,0,50,50,50,50,50.0,50.0,0,0,0,0,400000,400000,2,0,0,0,0,0,0,0,0,18900,1,0,0,1
47130,6,7.0,2703,10,2125,9,27,27,27,4293946,1021,1021,64,64,1500,52,52,1500,2162487.0,7511374.0,0,0,0,0,880000,688000,15,0,0,2,2,29200,28960,0,0,0,0,0,0,1
32939,6,7.0,484,9,420,7,18,18,18,4294499,468,468,64,64,60,52,52,60,216268.0,180240.0,0,0,0,0,104000,88000,16,0,0,0,0,29200,5792,0,0,0,0,0,0,1
39265,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,29654,28,0,0,1
19563,6,1.0,4,1,84,1,24,24,0,0,0,0,64,64,105,52,52,105,693.0,617.0,0,0,0,0,3688000,3656000,20,0,0,0,0,0,46,0,0,0,0,0,331,1
12657,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,9139,1,58,0,1
7643,17,0.0,71,1,71,1,0,0,0,0,0,0,0,0,71,71,71,71,71.0,71.0,0,0,0,0,568000,568000,2,0,0,0,0,0,0,0,0,29460,1,0,0,1
67264,17,0.0,72,1,0,0,0,0,0,0,0,0,0,0,72,72,0,72,72.0,0.0,0,0,0,0,576000,0,1,0,0,0,0,0,0,0,0,6595,12,0,0,1
21815,6,91.0,336,6,180,3,18,18,18,4294623,344,344,64,64,60,52,52,60,336.0,180.0,0,0,0,0,0,0,9,0,0,0,0,29200,28960,0,0,0,0,0,0,1
56501,6,7.0,740,5,617,4,27,27,27,0,0,0,64,64,560,40,40,560,740.0,617.0,0,0,0,0,5920000,4936000,7,0,1,1,0,29200,65535,0,0,0,0,0,0,1
18450,6,7.0,6589,10,2725,5,27,27,27,0,0,0,64,64,1500,52,52,1500,6589.0,2725.0,0,0,0,0,52712000,21800000,8,0,1,0,6,29200,28960,0,0,0,0,0,0,1
42097,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,37905,28,0,0,1
17308,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,24899,1,3543,0,1
19637,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,37726,28,0,0,1
20215,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,26952,1,57,0,1
43056,6,0.0,922,7,4642,14,26,26,26,0,0,0,64,64,1406,52,52,1406,922.0,4642.0,0,0,2632,8,7376000,37136000,8,2,10,0,1,29200,28960,0,0,0,0,0,0,1
22604,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,27186,1,3,0,1
71093,6,7.0,846,10,1840,10,27,27,27,4294514,453,453,64,64,705,52,52,705,846.0,1840.0,0,0,0,0,8000,32000,16,2,0,2,0,29200,28960,0,0,0,0,0,0,1
71257,6,7.0,703,10,771,7,27,27,27,4294624,343,343,64,64,507,40,40,507,703.0,771.0,0,0,0,0,16000,16000,15,0,2,0,0,29200,65535,0,0,0,0,0,0,1
21022,6,7.0,3031,7,1591,5,27,27,27,0,0,0,64,64,1500,52,52,1500,3031.0,1591.0,0,0,0,0,24248000,12728000,9,0,0,0,3,29200,28960,0,0,0,0,0,0,1
25469,6,91.0,328,6,120,2,18,18,18,4294513,454,391,64,64,60,52,52,60,164164.0,6060.0,0,0,0,0,8000,480000,8,0,0,0,0,29200,28960,0,0,0,0,0,0,1
37261,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,35930,1,0,0,1
85068,6,7.0,701,6,538,4,27,27,27,4294965,2,2,64,64,433,52,52,433,701.0,538.0,0,0,0,0,1864000,1432000,8,0,2,0,0,29200,5792,0,0,0,0,0,0,1
15705,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,7577,28,0,0,1
55177,6,0.0,1274,7,1972,6,31,30,27,0,0,0,64,64,1500,40,40,1500,1274.0,1972.0,0,0,0,0,10192000,15776000,8,2,1,1,1,29200,65535,0,0,0,0,0,0,1
63530,6,7.0,622,6,741,4,27,27,27,0,0,0,64,64,577,52,52,577,622.0,741.0,0,0,0,0,4976000,5928000,8,0,1,1,0,29200,28960,0,0,0,0,0,0,1
3433,17,0.0,74,1,893,1,0,0,0,0,0,0,0,0,893,74,74,893,74.0,893.0,0,0,0,0,592000,7144000,1,0,0,1,0,0,0,0,0,53610,28,172800,0,0
42531,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,61705,1,0,0,1
35873,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,45669,1,1063,0,1
9095,6,0.0,922,7,3620,16,27,26,27,4294889,0,78,64,64,1406,52,52,1406,922.0,3620.0,0,0,1665,9,7376000,360000,9,12,1,0,1,29200,28960,0,0,0,0,0,0,1
65226,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,35855,28,0,0,1
1647,6,7.0,518,7,4350,9,27,27,27,0,0,0,128,128,1500,40,40,1500,518.0,4350.0,0,0,0,0,4144000,34800000,10,1,2,1,2,64240,14600,0,0,0,0,0,0,0
68927,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,46280,28,0,0,1
42520,6,7.0,2848,7,1478,4,27,27,27,0,0,0,64,64,1500,52,52,1500,2848.0,1478.0,0,0,0,0,22784000,11824000,8,0,0,0,3,29200,28960,0,0,0,0,0,0,1
27824,6,7.0,901,11,1829,9,27,27,27,4294576,391,391,64,64,1018,40,40,1018,375526.0,1150679.0,0,0,0,0,3360000,7104000,16,1,2,1,0,29200,65535,0,0,0,0,0,0,1
17821,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,27578,28,0,0,1
76734,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,48457,1,0,0,1
25778,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,51297,1,0,0,1
38446,6,0.0,464,4,112,2,30,30,18,4294921,46,15,64,64,300,52,52,300,464.0,112.0,0,0,0,0,72000,56000,5,0,1,0,0,29200,28960,0,0,0,0,0,0,0
7818,6,7.0,104,2,0,0,17,17,0,4294909,58,0,64,64,52,52,0,52,104.0,0.0,0,0,0,0,8000,0,2,0,0,0,0,237,0,0,0,0,0,0,0,1
47541,6,0.0,2741,5,1931,7,30,26,28,0,0,0,128,128,1500,40,40,1500,2741.0,1931.0,0,0,0,0,21928000,15448000,6,1,2,1,2,65535,275,0,0,0,0,0,0,0
20427,6,91.0,164,3,60,1,18,18,18,4294951,16,0,64,64,60,52,52,60,164.0,60.0,0,0,0,0,72000,480000,4,0,0,0,0,29200,28960,0,0,0,0,0,0,1
13646,17,0.0,59,1,134,1,0,0,0,0,0,0,0,0,134,59,59,134,59.0,134.0,0,0,0,0,472000,1072000,1,1,0,0,0,0,0,0,0,62952,1,7923,0,0
25002,6,7.0,916,10,4366,11,27,27,27,4294151,816,816,64,64,1500,40,40,1500,458458.0,22032163.0,0,0,0,0,400000,17256000,15,0,2,2,2,29200,65535,0,0,0,0,0,0,1
33267,6,7.0,1527,18,3460,15,27,27,27,4294498,469,469,64,64,1500,40,40,1500,4811046.0,21421318.0,0,0,0,0,64000,152000,26,0,6,0,1,29200,65535,0,0,0,0,0,0,1
13480,6,0.0,1226,13,3027,19,27,26,27,4294452,515,219,64,64,1406,52,52,1406,1226.0,3027.0,0,0,712,8,16000,104000,27,2,2,0,1,29200,28960,0,0,0,0,0,0,1
37066,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,62545,28,0,0,1
47143,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,58205,28,0,0,1
51191,6,7.0,618,5,12611,12,27,27,27,0,0,0,64,64,1500,52,52,1500,618.0,12611.0,0,0,0,0,4944000,100888000,7,0,2,0,8,29200,26847,0,0,0,0,0,0,1
9342,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,60698,1,23,0,1
76313,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,62933,28,0,0,1
10967,17,0.0,138,2,234,2,0,0,0,0,0,0,64,64,117,69,69,117,138.0,234.0,0,0,0,0,1104000,1872000,4,0,0,0,0,0,0,0,0,40767,1,604800,0,0
34970,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,34597,1,27,0,1
29196,6,7.0,692,12,4522,12,27,27,27,4294748,219,219,64,64,1500,40,40,1500,692.0,4522.0,0,0,0,0,24000,160000,20,0,0,2,2,29200,65535,0,0,0,0,0,0,1
77742,6,0.0,124,3,44,1,22,6,18,4294904,63,0,64,64,44,40,40,44,8440.0,44.0,0,0,0,0,16000,352000,4,0,0,0,0,1024,5840,0,0,0,0,0,0,0
26424,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,48241,1,0,0,1
42734,6,7.0,828,6,940,4,27,27,27,0,0,0,64,64,776,52,52,776,828.0,940.0,0,0,0,0,6624000,7520000,8,0,0,2,0,29200,5792,0,0,0,0,0,0,1
7473,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,41386,1,2238,0,1
58276,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,55682,28,0,0,1
59625,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,17742,1,0,0,1
7847,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,30670,1,45,0,1
11730,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,7778,28,0,0,1
73584,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,34347,1,3457,0,1
1036,6,7.0,589,5,591,5,27,27,27,0,0,0,64,64,375,52,52,375,589.0,591.0,0,0,0,0,4712000,4728000,8,0,2,0,0,29200,5792,0,0,0,0,0,0,1
82055,17,0.0,71,1,71,1,0,0,0,0,0,0,0,0,71,71,71,71,71.0,71.0,0,0,0,0,568000,568000,2,0,0,0,0,0,0,0,0,34664,1,0,0,1
80793,17,0.0,71,1,71,1,0,0,0,0,0,0,0,0,71,71,71,71,71.0,71.0,0,0,0,0,568000,568000,2,0,0,0,0,0,0,0,0,56962,1,0,0,1
60068,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,30192,1,2541,0,1
145,6,7.0,2533,7,3616,7,27,27,27,0,0,0,64,64,1500,40,40,1500,2533.0,3616.0,0,0,0,0,20264000,28928000,9,0,1,1,3,29200,65535,0,0,0,0,0,0,1
2971,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,10,1,54,0,1
48185,6,7.0,827,12,4403,12,27,27,27,4294693,274,274,64,64,1500,40,40,1500,827.0,4403.0,0,0,0,0,24000,128000,19,0,2,1,2,29200,65535,0,0,0,0,0,0,1
11400,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,52672,1,0,0,1
40926,6,7.0,972,12,774,8,27,27,27,4294701,266,266,64,64,226,52,52,226,478494.0,387387.0,226,1,223,1,3648000,2856000,16,4,0,0,0,29200,28960,57856,226,0,0,0,0,1
5386,6,7.0,710,10,811,8,27,27,27,4294764,203,203,64,64,507,40,40,507,710.0,811.0,310,1,0,0,24000,24000,16,0,2,0,0,29200,65535,13824,54,0,0,0,0,1
73357,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,2817,28,0,0,1
70271,6,7.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,50404,0,0,0,0,0,0,0,0
51738,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,8830,28,0,0,1
40431,17,0.0,70,1,791,1,0,0,0,0,0,0,0,0,791,70,70,791,70.0,791.0,0,0,0,0,560000,6328000,1,0,0,1,0,0,0,0,0,52487,43,86400,0,0
62200,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,58818,1,1506,0,1
59560,6,7.0,6091,7,4842,8,27,27,27,4294951,16,16,64,64,1500,40,40,1500,6091.0,4842.0,0,0,0,0,2864000,2272000,7,1,0,0,7,29200,65535,0,0,0,0,0,0,1
45184,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,6836,1,0,0,1
26346,6,7.2120000000000015,530,5,1226,5,27,27,27,0,0,0,128,128,1054,40,40,1054,530.0,1226.0,0,0,0,0,4240000,9808000,8,0,1,0,1,64240,65535,0,0,0,0,0,0,0
57768,6,91.0,1380,6,164,3,27,27,18,4294592,375,46,64,64,393,52,52,393,1380.0,164.0,786,2,0,0,24000,24000,6,0,3,0,0,28960,29200,4608,18,0,0,0,0,0
3898,6,91.0,276,5,172,3,19,18,19,4294639,328,328,64,64,60,52,52,60,112164.0,60112.0,0,0,0,0,896000,480000,8,0,0,0,0,29200,28960,0,0,0,0,0,0,1
7652,6,91.0,112,2,112,2,19,19,18,4294702,265,0,64,64,60,52,52,60,112.0,112.0,0,0,0,0,0,896000,4,0,0,0,0,28960,29200,0,0,0,0,0,0,0
30001,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,54451,1,0,0,1
26870,6,7.0,2500,7,590,5,27,27,27,0,0,0,64,64,1500,52,52,1500,2500.0,590.0,0,0,0,0,20000000,4720000,9,0,1,1,1,29200,5792,0,0,0,0,0,0,1
73051,6,7.0,2732,8,3629,6,27,27,27,0,0,0,64,64,1500,40,40,1500,2732.0,3629.0,0,0,0,0,21856000,29032000,9,0,1,1,3,29200,65535,0,0,0,0,0,0,1
34418,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,597,1,0,0,1
38293,6,0.0,1018,9,5671,16,26,26,26,4294685,282,282,64,64,1406,52,52,1406,1018.0,5671.0,0,0,3537,9,24000,160000,11,2,11,0,1,29200,28960,0,0,0,0,0,0,1
29831,6,0.0,826,7,3250,14,27,26,27,4294905,0,62,64,64,1406,52,52,1406,826.0,2421829.0,0,0,1295,7,6608000,496000,9,11,0,0,1,29200,28960,0,0,0,0,0,0,1
57296,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,4298,28,0,0,1
45615,6,7.0,539,7,3352,7,27,27,27,0,0,0,64,64,1500,52,52,1500,539.0,3352.0,0,0,0,0,4312000,26816000,10,2,0,0,2,29200,28960,0,0,0,0,0,0,1
12024,6,7.0,2820,13,1530,9,27,27,27,4294132,835,835,64,64,1500,52,52,1500,7072113.0,940590.0,0,0,0,0,11040000,5880000,17,0,3,1,1,29200,5792,0,0,0,0,0,0,1
